Row Reviewer,Author,Year,Methods,Title,Did they clearly define hotspot?,Hotspot Type,Hot Spot Definition,Types of Orgs,Journal,Lat,Lon,Location,Depth,Summary,Persistence examined?,Drivers Directly Observed,Condensed_obs_drivers,Drivers Suggested,Condensed_ sug_drivers,Notes,Review complete?
Gemma,Beck et al.,2016,Survey,Wave-sheltered embayments are recruitment hotspots for tropical fishes on temperate reefs,N,Reproduction & Recruitment,"Areas of high species and trophic richness, diversity and density",bony fish,Marine Ecology Progress Series,"-34.180, 33.388","151.135, 133.393",Western Pacific (Australia and Japan),demersal,"Conducted snorkel surveys of ""vargrant"" (poleward distributing) reef fishes in eastern Australia and western Japan from 2011-2012 to determine whether there were significant differences in diversity, richness and density in embayed vs exposed areas. Included biophysical factors like presence of predators and closest estuary. Density, species and trophic diversity, and species richness of vagrant fishes were higher in embayed vs exposed reefs, with wave exposure best predicting trophic assemblage in both areas, and the richness and density of generalist assemblages in Australia. Important because anthropogenic disturbance in hotspots could have negative consequences for recruitment as fish expand or shift ranges in response to climate change.",N,"wave exposure,proximity to estuary, predator density,reef structure","circulation, species attributes",Shelter from wave exposure,,Opposed common finding of habitat complexity as primary driver of recruitment by redistributing species,Y
Gemma,Caputi et al.,2016,"Fishery, Satellite",Management adaptation of invertebrate fisheries to an extreme marine heat wave event at a global warming hot spot,Y,Warming,Area of faster than average ocean warming AND high interannual variability,"crustaceans,mollusks",Ecology and Evolution,-31.56,115.274,Eastern Indian Ocean (Australia),"surface,demersal","Assessed impacts of a marine heatwave (2010/11) in the Eastern Indian Ocean around Australia related to strong Leeuwin Current, and its impacts on various commercial fishery species (prawns, crabs, abalone). Observed catastrophic mortality of abalone in some areas, and declines in blue swimming crab.Understanding and predicting ocean warming hotspots can be used to develop dynamic management strategies to avoid fisheries declines.",N,Sea surface temperature,temperature,Strengthening of the Leeuwin Current (western boundary current),,"Importance of warming hotspots as ""natural laboratories"" to study and predict global change and importance of hotspots for dynamic ocean management",Y
Gemma,Cox et al.,2016,"Biologging, Satellite",Seabird diving behavior reveals the functional significance of shelf-sea fronts as foraging hotspots,N,Foraging,Areas of elevated foraging activity,seabirds,Royal Society Open Science,51.5,-5.5,Celtic Sea (UK),surface,"GPS tracked 53 breeding gannets and looked at dive behavior from TDRs along ocean frontal boundaries. Found birds more likely to dive in presence of seasonally persistent fronts, males positively correlated with distance and cross-front gradient strength, opposite for females. More likely to do shorter, V shape plunge dives in fronts (indicating high quality foraging opportunity). Argue that linking diving behaviour to frontal metrics provides insight into mechanisms linking foraging behaviour and oceanography.",N,Frontal metrics,fronts,Prey aggregation (depth + density),,"Timescales of persistence not identified, but frontal metrics assessed at both weekly and seasonal timescales to identify areas of sustained frontal activity",Y
Gemma,Fiechter et al.,2016,Model,A fully coupled ecosystem model to predict the foraging ecology of apex predators in the California Current,Y,Foraging,"""Spatiotemporal regions exploited for foraging by species over multiple trophic levels.""","bony fish,pinnipeds",Marine Ecology Progress Series,37,-123,California Current,"surface,mid","Created an ecosystem model to discover impacts of environmental conditions and prey availability on adult male sea lion foraging. The ecosystem model is made up of a regional ocean circulation submodel, a biogeochemical submodel, multi-species invidual-based submodel for forage fish and sea lions. The model was run from 1988-2008, including events of interest such as a strong ENSO, and a warm-to-cold PDO regime shift. An empirical orthogonal function decomposition identified the dominant modes of variability to tease out the relationships between predator, prey, and the environment. Results showed that sea lions spent less time foraging at sea when there were high nearshore abundances of sardine, likely due to sardine's higher energy content compared to other prey. In poor sardine years, sea lions spent more time foraging to meet daily energy requirements and less time resting at haul out sites. The PDO was linked to high inshore sardine abundance and the ENSO modulated coastal upwelling, also influencing prey availability. Warmer waters lead to higher sea lion abundance because of an abundance of preferred sardine prey. ",N,"prey type, prey abundance, PDO, ENSO, temperature","species attributes, hydrology, temperature",,,,Y
Gemma,Popova et al.,2016,Model,From global to regional and back again: common climate stressors of marine ecosystems relevant for adaptation across five ocean warming hotspots,Y,Warming,"""Regions characterized by above-average temperature increases over recent years, for which there are significant consequences for both living marine resources and the societies that depend on them"" - built off Hobday and Pecl's SST hotspots",microalgae,Global Change Biology,NA,NA,Global,surface,"This research built on Hobday and Pecl's 2014 global warming hotspot paper by applying a global ocean NEMO model and analyzing 5 of the 26 unique hotspots in Hobday and Pecl's 2014 paper in detail. Using the model output, they assessed the effects of SST, stratification, primary production and nutrient supply, acidification, deoxygenation, and circulation. Overall, they found that the focal hotspots will continue to warm, but may lose their status as the top warming areas. The East Australia hotspot showed the highest increase in SST, and some of the fastest warming areas were those in boundary currents. The model underestimated DIN in oligotrophic areas and productivity in shelf regions, due to limited resolution and omission of some processes. The greatest changes in primary production were not always associated with the highest change in SST, as this will only occur in areas already nutrient-limited and subject to vertical supply. The poles are expected to experience the first effects of acidification, and eastern boundary upwelling areas are predicted to suffer from shifting oxygen minimum zones. Overall, changes in DIN, stratification, and primary production were weak compared to changes in SST, due to their inherently dynamic nature. The impacts of climate change predicted from the model are likely to be strongly felt in fisheries and fishing communities. The authors state a big challenge in their study is distilling this information into actionable items in these affected areas. ",N,SST,temperature,,,,Y
Nerea,Cortes & Waessle,2016,"Fishery, Satellite, Model",Hotspots for porbeagle shark (Lamna nasus) bycatch in the southwestern Atlantic (51S-57S),Y,Fisheries & Bycatch,"Spatiotemporal overlap of shark bycatch and trawling fishery, areas higher than the 90th percentile of predicted values",cart fish,Canadian Journal of Fisheries and Aquatic Science,-53.5,-64,southwestern Atlantic Ocean,"mid,demersal","Authors identified hotspots of porbeagle shark bycatch off Argentina. Used Tweedie and Delta models built on observer data from fishing fleet to generate predictions on where bycatch would occur in association with oceanographic parameters. Areas of high bycatch were found between the 200 and 1000m isobaths. Found the bycatch areas weren't associated with temperature, but were associated with thermohaline shelf-break fronts. Recommended good management of bycatch given the shark's life history strategy.",N,"prey abundance, SST, trawl depth","species attributes, temperature, fishing",,,,
Nerea,Syamsuddin et al.,2016,"Fishery, Survey, Satellite",Interannual variation of bigeye tuna (Thunnus obesus) hotspots in the eastern Indian Ocean off Java,N,Habitat,"Favorable conditions for tuna, areas with high tuna catch",bony fish,International Journal of Remote Sensing,-12,115,Java,surface,"The authors compiled data on sea surface height anomaly (SSHA), SST, chl-a, and eddy kinetic energy (EKE) to look at how climate variability is related to big eye tuna fishing hotspots off the Javan coast. Tuna catch data were obtained from logbooks, while the environmental data included CTD, buoy data on mixed layers, and remote sensed satellite data for the remaining variables. SSHA was 1/3 degree over 7 days, SST was 4km at 7 days, chl-a was weekly MODIS and SeaWIFS at 9km, EKE was weekly with 1/3 degree resolution. El Niño/La Niña data was obtained over 5 month running averages. The authors ran empirical orthogonal analysis to decouple space and time between the variables. Big Eye tuna catch was shown to decline during La Niñas as well as specific ranges of SSHA, SST, chl-a and EKE off the southern coast of Indonesia. ",N,"La Niña, SSHA, SST, EKE, chl-a","hydrology, circulation, primary productivity, temperature",,,,Y
Steph,Gove et al.,2016,"Model, Satellite, Survey",Near-island biological hostpots in barren ocean basins,N,Abundance/Density,Areas of high phytoplankton biomass,"plankton,coral",Nature Communications,24.043,-163.151,North Pacific,"surface,demersal","Examined the Island Mass Effect (IME) around reefs and atolls. Found that phytoplankton biomass was elevated at 91% of surveyed island and atoll-reef systems (32 total). Generated GLMs with biogeophysical drivers that included latitude, land area, reef area, bathymetric slope, ocean currents, precipitation, sea surface temperature,  atoll vs island, and human populated vs unpopulated. Areas with more reef had more enhancement. The importance of this enhancement meant that nearshore phytoplankton biomass increased as much as 703.6% over a ten year period which has major implications for trophic dynamics. This means more food for upper level consumers, but could also be negative, resulting in anoxic algal blooms, outcompeting coral, and even shifting ecosystems into alternate states entirely. ",N,"land area, reef area, slope, currents, precipitation, SST, human population, topography","habitat, bathymetry, circulation, hydrology, temperature, human activity, topography",,,,Y
Steph,Schuyler et al.,2016,"Model, Database, Review",Risk analysis reveals global hostpots for marine debris ingestion by sea turtles,N,Multi-Risk & Threat,Areas of marine debris ingestion by sea turtles,sea turtles,Global Change Biology,NA,NA,Global,"surface,mid,demersal","This study attempted to quantify plastic ingestion risk for sea turtles on a global scale. The authors calculated spatial and temporal distributions of plastic trajectories using surface drifting buoys, and estimated plastic pollution levels by generating a 50 year model assuming plastic waste was proportional to local population size and global plastic production. The authors also completed a plastic ingestion estimate for each turtle species by reviewing the literature and generated four measures of debris encounter rate. Green turtles were used as a reference species to compare to Kemp's ridley and loggerheads, which were less likely to ingest plastic, while olive ridleys had a higher likelihood. The North Pacific gyre had the highest plastic risk. Oceanic turtles were at higher risk for ingestion than benthic feeders, as were juvenile stages which tended to feed more in open water. Olive ridleys were most succeptible likely due to foraging behavior and prey preference. Areas of high plastic output, notably the US, China, and Southern Africa, should take action to minimize pollution, as model projections showed a decreased risk if plastic pollution was curbed. Robust datasets on plastic production and pollution would improve modeling efforts, though the study did provide a good baseline for total number of turtles which have ingested plastic.",N,"life stage, ecological niche",species attributes,plastic production,human activity,,Y
Steph,Tidbury et al.,2016,Database,Predicting and mapping the risk of introduction of marine non-indigenous species into Great Britain and Ireland,N,Invasives,Coastal grid cells with a scaled activity score of >75 (out of 100),inverts,Biological Invasions,53.629,-4.94,UK,"surface,demersal","The authors sought to create a simple framework to analyze the activity of 3 vectors of species invasion (commerical shipping, recreational boating, and aquaculture imports) and determine the level of relative risk around coastal regions of Great Britain and Ireland for each vector. They used vessel traffic data from AIS for commerical traffic and transit routes for recreational traffic which were subdivided between low to high use. Shellfish import data were used to assess the aquaculture vector, and an invasive tunicate known to have been introduced and established in the study area was used as a sample species to represent other potential invaders. Data were gridded into 50 km cells in Arcmap and each grid cell was given a score from 0-100 to indicate level of vector intensity using a scaling equation to generate a heatmap of risk. Results for commerical shipping found 6 coastal hotspots, with London being the highest. 9 out of 150 recreational routes were identified as heavy use, with 7 grid cells identified as recreational boating risk hotspots. 4 coastal regions for shellfish imports were identified as risk hotspots. The tunicate species was present in all likely vector hotspots. Caveats of the study were that vector data were only gathered from one year, so it is unlikely it is representative of the actual vector risk levels, and climate change is likely to impact introduction vectors. Additionally, the scores of the different vector types, despite being rated on the same system, are not cross comparable. However, the collaborative process of identifying and evaluating risk of invasive introductions was a strength of the study and laid the framework for assessment of many invasive species of concern. The importance of the hotspots identified are that they can be used for development of risk focused approaches to detection and management of species in compliance with national regulations. In turn, this helps allocate resources pre-emptively and effectively to ensure they will be the most effective. ",N,"shipping, aquaculture, recreational boating","shipping, human activity",,,,Y
Z,Hariharan et al.,2016,Lab,Evaluation of the multiple biomarkers on identification of the vulnerable coastal pollution hotspots,N,Bioaccumulation,Areas of high metal pollution bioaccumulation?,mollusks,Environmental Science & Pollution Research,12.66,80.33,India,demersal,"Looked at bioaccumulation of heavy metals in mussels off Indian coastline as an indicator of pollution and ecosystem health. 3 representative sites were chosen, two with known high levels of pollution, and one without. Mussels and seawater samples were collected from each site and biochemical assays and histological assessments were performed on mussel tissues. Whole body tissue samples had the highest concentration of pollutants, followed by the gill samples. The highest level of accumulation was at sight 1 (Ennore, the most polluted) and lowest at sight 2 (Kovalam, least polluted). Analysis showed metal accumulation has increased over several decades. Mussels subject to heavy pollution lost lamellae, elongated gill filaments, and loss of epithelium. Viewed these as pollution hotspots which could be used as important early warning indicators to degrading ecosystem health.",N,"heavy metal effluent, rivers, bulk discharge","pollution, hydrology",,,,
Z,MacKay et al.,2016,"Survey, Acoustics, Model",North Atlantic humpback whale (Megaptera novaeangliae) hotspots defined by bathymetric features off western Puerto Rico,Y,Abundance/Density,Areas where whales aggregate,cetaceans,Canadian Journal of Zoology,18.261,-67.257,Puerto Rico,"surface,demersal","Used data from shore, ship, and aerial observations to estimate hotspots of humpback whales. Divided observations into different groups; mother-calf pair, mother-calf-escort, dyads, and competitive groups. Synthesized data using GIS via sightings per km surveyed (SPKS) and kernel density estimate (KDE) in association with bathymetry which was obtained from NOAA NCEI. SPKS and KDE found 4 distinct hotposts associated with seamounts, shelfs, and ledges, with different types of groups associated with different features, and only singletons and dyads found across all hotspots. These areas significantly overlap with human use, so should be areas of enforcement should be focused to minimize disturbance and negative interactions.",N,"seamounts, shelfs, bathymetry",bathymetry,,,,
Z,Sanchez-Quiles et al.,2016,Review,Trace metal accumulation in marine macrophytes: Hotspots of coastal contamination worldwide,N,Bioaccumulation,Coastal locations where macrophtyes have high levels of metals caused by human activity,macroalgae,Science of the Total Environment,NA,NA,Global,demersal,Extremely brief review study that compiled 155 articles to look at estimates of trace metal in marine macrophtyes around the world. Found high concentrations in many macrophytes.,N,none,none,human activity,human activity,,
Z,Shen et al.,2016,Survey,Bioavailable dissolved organic matter and biological hot spots during austral winter in Antarctic waters,Y,Nutrients & Biogeochemical-Cycling,"""specific location exhibiting elevated concentrations of bioavailable DOM relative to surrounding waters""",microbes,Journal of Geophysical Research: Oceans,-61,-57,Antarctica,surface,"This study sought to fill a knowledge gap in the Antarctic regarding DOM concentrations during the austral winter due to difficulty in sampling that time of year. The authors sought to investigate the composition, concentration, and bioavailability of DOM and how these changed with hydrography and ecosystem productivity. Water samples were collected from an RV as part of the AMLR program in August 2012 at 25 stations of depths from 5-750 m in ice covered and ice free areas. A CTD rosette to measure chl-a and capture water samples was deployed at each station. Chemical analyses were run to asses chl-a, amino acids (TPAA and TDAA), and DOC content. CHl-a and POC decreased toward the south, while chl-a and POC were lower. DOC showed no latitudinal or vertical gradients. Ice free stations had much higher chl-a levls near the surface, decreasing with depth, while DOC remained relatively low. Concentrations of chl-a DCO, TDAA, and TPAA were lower at ice covered than open water stations. Biochemical indicators identified hotspots around 75 m at ice free stations, with levels twice those of surrounding waters indicative of bioavailble DOM. The sources of this DOM remain unknown however and could be from locally produced biogenic particles, chemaustotrophic production, or surface phytoplankton production. These hotspots serve as important carbon pumps to the microbial community, particulalry in areas of low primary productivity.",N,ice,hydrology,"primary productivity, biogenic production","primary productivity, biogenic production",,
Z,Shen et al.,2016,"Survey, Experiment",Biological hot spots and the accumulation of marine dissolved organic matter in a highly productive ocean margin,Y,Nutrients & Biogeochemical-Cycling,Areas with labile DOM,none,Limnology & Oceanography,28.5,-91,Gulf of Mexico,surface,"Looked at hotspots of DOM in the ocean margin off Louisiana. DOM hotspots are indicative of high biological activity. The authors identified these hotspots by collecting surface water samples from 5 cruises throughout the year and analyzing them using bioassays and chemical analyses for indicators including amino acids, sugars, and carbohydrates to examine how their concentrations reflect the spatiotemporal distribution of plankton production and nutrient limitation. They found that concentrations varied over salinities, with mid salinities having higher values of DOC, while amino acids and neutral sugars increased with salinity. Combined, these results indicated that the microbes present were capable of rapidly processing DOM and produced some metabolites resistant to decomposition. Neutral sugar hotspots were found day and night with less differences between areas, while amino acids were found mostly nearshore. Results agreed with previous studies and indicated major rates of primary production and zooplankton grazing. Grazing in particular appears to contribute to amino acid rich DOM hotspots, where nutrients and chlorophyll were high, and hotspots in general were higher in summer when plankton production is high. The importance of this work was that it is an important source of energy and elements for microbial foodwebs.",N,"distance to coast, salinity","distance to physical features, salinity",,,,
Z,Yu et al.,2016,"Fishery, Satellite, Model",Spatio-temporal distributions and habitat hotspots of the winter-spring cohort of neon flying squid Ommastrephes bartramii in relation to oceanographic conditions in the Northwest Pacific Ocean,N,Abundance/Density,Areas of high CPUE?,mollusks,Fisheries Research,42,150,NW Pacific,surface,"Examined the spatiotemporal distribution of habitat hotspots of neon flying squid in the NW Pacific using Chinese fishery data and remotely sensed environmental data. The authors state that it is known that the squid habitat hotspots are heavily influenced by biophysical factors. They hypothesize that squid habitat hotspots will be able to be detected based on modeled oceanographic data. Catch data were converted into CPUE and data on the SST, Chl-a, SSHA, SSS, MLD, and EKE were used to characterize the environment. Integrated probability maps using the environmental variables were used to detect squid hotspots and a histogram analysis was used to determine the relationships between CPUE and each environmental variable. Results showed the high CPUE was associated with potential productive habitats and findings were consistent with those of previous studies. Oceanic fronts and eddies were viewed as optimal ranges where squid aggregate. They acknowledge some bias in the data stemming from errors in environmental data, not accounting for codependence between variables, and the exclusion of wind as an environmental variable. ",N,"fronts, eddies","fronts, circulation",,,,
Conner,Messie & Chavez,2017,Model,"Nutrient supply, surface currents, and plankton dynamics predict zooplankton hotspots in coastal upwelling systems",Y,Abundance/Density,Areas of patchy distribution where there are high concentrations of large zooplankton.,plankton,Geophysical Research Letters,36,-122,California Current,"surface,mid,demersal","Constructed a model of zooplankton hotspot spatiotemporal distribution in the southern California Current and in 3 other upwelling systems. The model incorporated plankton growth and grazing equations, upwelling, and surface currents and nitrate was the only initial input. Plankton were split by size and type (large, small, phyto and zoo) and the nitrate input was only relevant to large phytoplankton. All parameters were based on published values and Lagrangian paths were constructed using OSCAR for every 1/8 degree latitude. Results indicated that currents transported large plankton to different hotspots, and krill and copepod hotspots often co-occurred despite differences in max depth and swim speed, likely because of their affinity to remain near areas of high production and associated prey. The largest big zooplankton hotspots were downstream of upwelling centers due to a 2 week lag from upwelling to the observed max biomass. Additional experiments indicated that surface currents and nitrate supply are both important to hotspot distribution individually. Their models precision and accuracy was validated by real time values recorded by CalCOFI.",N,"upwelling, currents, nitrate","circulation, nutrients",,,,
Dan,Bouchet et al.,2017,"Model, Fishery",Continental-scale hotspots of pelagic fish abundance inferred from commercial catch records,Y,Abundance/Density,high density areas as characterized by tangents to the curve of cumulative relative frequency distributions.,"bony fish,cart fish",Global Ecology & Biogeography,"-36, -24, -16","120,112,120",West Australia,"surface,mid,demersal","The authors utilized 10 years of commercial fishing records for 23 species (dominated by mackerels and tunas) from an effort called the Sea Around Us Project to examine abundance hotspots around western Australia, in the context of supporting international efforts to conserve 10% of the global ocean via marine reserves and dynamic ocean management. Background research has shown that despite their highly migratory nature, protecting fixed locations with rugged terrain could still be effective for migratory species. Catch and effort were matched agreggatively based on fishing method, filtered, and then split into 4 bioregions based on homogenous environmental characteristics. A 3D spline was employed to fill gaps in effort and then a GLM was used to extract indices of fish abundance and temporal trends. Random forests were employed to delineate important environmetnal predictors for predator abundance and then hotspots were identified based on the frequency distribution of these abundances, and overlap with marine reserves was then assessed. Hotspots were most common in the northern bioregions. Hotspots did not reside within reserves as predicted by chance with the exception of the North region. Not all hotspots were associated with canyons or other complex topographic features, which could be a result of the interplay between biophysical forcing and oceanographic forces, and that fish may only periodically occupy hotspot regions which the data resolution was unable to detect. The authors advocate that the future of hotspots research should focus on 4 dimensions, lat, lon, time, and depth instead of the current 2D geographical paradigm, and that hotspot persistence needs to be assessed more often in addition to the influence of anthropogenic influences on the distribution of wildlife. They close by summarizing how static marine reserves can still be effective for highly mobile creatures and that the establishment of a global hotspot respository as proposed by Hazen et al. 2013 is crucial for open ocean dynamic ocean management.",N,"bathymetry, SST","bathymetry, temperature",,,Absolutely cite this,
Dan,Perez-Ortega & Isfendiyaroglu,2017,"Survey, Model, Satellite",Predicting foraging hotspots for Yelkouan shearwater in the Black Sea,N,Foraging,"Best guess is areas of suitable habitat for good foraging, never overtly defined, but interesting figure on how they constructed them",seabirds,Deep Sea Research II,43.625,32.48,Black Sea,surface,"Researchers combined boat and shore based surveys of Yelkouan shearwater to generate species distribution models (SDMs) using maximum entropy techniques in both breeding and nonbreeding seasons in the Black Sea. Data used was collected in 2013 and processed in GIS with boat based survey data presented as the 95th percentile and shore based data as the total number of birds in an area. In the breeding season, distance to coast, SST of the three prior seasons, and bathymetry were the best predictor variables while distance to coast, distance to continental slope, bathymetry, chl-a, and SST from the 3 prior seasons were the best explanatory variables. The authors were surprised chl-a didn't influence distributions, and hypothesize it may be due to a lack of data from the survey period, or because the shearwaters feed several trophic levels higher. The authors close by suggesting hotspots of suitable habitat should be the target of future boat surveys, amd that their study should be considered a primary effort toward delineating important bird areas and marine protected areas for the shearwater, as well as being among the first to use dynamic variables to examine the shearwater's distribution. Overlaid SDM suitable habitat with actual data hotspots.",N,"SST, distance to coast, bathymetry, distance to continental slope, chl-a","temperature, distance to physical features, bathymetry, primary productivity",,,,
Dan,Santora et al.,2017,"Survey, Acoustics, Satellite",Ecosystem oceanography of seabird hotspots: Environmental determinants and relationship with antarctic krill within an important fishing ground,Y,Foraging,"""The occurrence and spatial intensity ofbiological hotspots, areas of increased speciesabundance, diversity, and/or trophic transfer""","seabirds,krill",Ecosystems,-63,-58,Antarctica,surface,"The authors sought to quantify the distribution and environmental drivers of seabird hotspots and association with krill biomass, hypothesizing that species specific hotspots are structured around mesoscale ocean coniditons reflective of differing physical drivers in coastal and oceanic regions. They summarize the importance of integrated ecosystem assessments of hotspots to ecosystem based management, as well as the ability of hotspots to provide info on the spatial structure of ecosystems, location of foraging grounds, prey availability and consumption by predators. They used data collected from vessel surveys to find hotspots for 6 seabird species and their spatial associations with krill biomass in the Antarctic from 2003-2011. The environmental variables eddy kinetic energy (EKE), SST, and chl-a concentration were derived from satellite data. Seabird abundance was converted to individuals per unit effort and gridded into 54 cells of 0.5x1 degree latitudes, and spatial climatology was applied to each cell as well. They then used two GAMs to explore spatial variability and spatial interactions and covariates. Cape petrels were the most numerically dominant of all species under study. Overall, the seabird species responded differently to variations in the environment in at least 5 meso scale hotspots. Hotspots have many important utilities including indicators of conditions necessary to meet energetic demands of breeding seabird colonies, indicators of ecosystem function and environmntal conditions, delineation of MPAs and Important Bird Habitats, and indicate windows of seasonal vulnerability. The ecosytem oceanography method could be applied to other eastern boundary current upwelling systems with similar forage and predator species and oceanographic dynamics.",N,"prey biomass, SST, EKE, distance to coast","species attributes, temperature, circulation, distance to physical features",,,,
Dan,Santora et al.,2017,Survey,Persistence of trophic hotspots and relation to human impacts within an upwelling marine ecosystem,Y,Foraging,"""Areas with high persistence of elevated concentrations of primary producers and secondary and tertiary consumers""","krill,bony fish,seabirds,microalgae",Ecological Applications,32.5,-123,California Current,surface,"The authors looked at hotspots across trophic levels in the Southern California Current and the oceanographic conditions in the context of shipping and fisheries. Used the CalCOFI survey to grid data into 4500km2 cells, and assigned chl-a concentration and density of krill, larval anchovy and sardine, and sooty shearwaters. Generated a GAM to find relationships between lower and higher trophic levels, and a PCA to look at coherence of persistence between biological variables to create a spatial hotspot index. Hotspots were identified in Santa Barabara Channel and off Point Conception. The geomorphology in these areas lead to processes such as upwelling which transport and/or retain organisms. Accordingly, the trophic hotspot index was positively correlated with upwelling velocity. Shipping and commercial fishing were found to overlap with trophic hotspots, and the importance of these hotspots to marine mammals was briefly reviewed. Drawbacks to this approach are the need for long time series datasets, and the coarse resolution, though given predators' long ranges, this second point could be less of an issue than originally thought. The hotspots identified could also be a network of highly connected smaller scale hotspots, meso-hotspots, given the high mobility of the creatures under study. This information is important for predicting where hotspots will form in other similar systems, and ecosystem based management given the interaction between hotspots and fisheries, with potential closures to protect the prey and foraging predators, and MPAs. The authors conlcude by briefly reviewing potential impacts of climate change, such as temporal shifts in abundance, spatial shifts, or even destabilization of hotspots due to upwelling intensification.",Y,"temperature, density, dynamic height, pycnocline depth, upwelling, nitrate","temperature, salinity, circulation, nutrients",,,Good example of how hotspots can be used for MPAs and human use of ocean,
Dan,Urbanski et al.,2017,"Biologging, Satellite, Survey",Subglacial discharges create fluctuating foraging hotspots for sea birds in tidewater glacier bays,Y,Foraging,"Foraging hotspots, areas where seabirds contacted the water more than 50 times for prey capture attempts",seabirds,Scientific Reports,78.972,12.321,Norway,surface,"This research examined the effects of glacial melt on plankton distribution and seabird foraging in tidewater glacier bays of the Svalbard region in Norway in July of 2015. Efforts were focused on two fjords with Kittiwakes tagged with GPS loggers that determine when they splash into the water. Plankton were sampled using a neuston net from a small boat as well as physical oceanographic measurements including salinity, temperature, pressure, and turbidity. Cloudless satellite imagery from Landsat 8 covering the study area was obtained for the same days field work was conducted to evaluate total suspended matter (TPM). They found the main forcing mechanisms were tidal currents, gradient currents from meltwater discharge, and katabatic winds which created a patchy SPM layer at the water surface, and concluded that the glacial discharge was the most important factor for the uniquness of the bays. In addition, the plankton community near and far from glacier cliffs were different with those close to the glacier more abundant and diverse than the surrounding area. In addition, it is not representative of the fjord's surface communities as the entire water column was moved to the surface creating the greater diversity and abundance near the glacial cliffs. Pressure created by the mass of a glacier on its subglacial conduit also lead to much higher water velocities and lead to efficient water mixing. But hotspots were not always observed where these melt discharges occurred and it was unclear whether the subsurface discharge plumes are responsible for the formation of foraging hotspots. Important in the context of global warming.",N,"salinity, temperature, pressure, turbidity, tide, currents, wind, glaciers","salinity, temperature, misc water properties, circulation, distance to physical features",,,,
Gemma,Ceriani,2017,"Biologging, Lab",Foraging and recruitment hotspot dynamics for the largest Atlantic loggerhead turtle rookery,N,Foraging,Areas of relatively high foraging habitat use by an important sub-population of predators (breeding females),sea turtles,Scientific Reports,28.745,-80.581,Western Atlantic (US and Caribbean),demersal,"Used stable isotopes to generate isoscapes and identify foraging hotspots of loggerhead seaturtles from a Florida rookery and assessed contribution of hotspots to breeding success (hatchling emergence). Found that the most persistent hotspot was offshore of the rookery, and that contributions from other hotspots in the North and South varied in opposition to each other over time. Hotspot isoscape maps represented probability that a turtle visited a given area, not number of turtles. Argued that a better understanding of these important hotspots could help mitigate risk from anthropogenic activities.",N,,nutrients,Prey availability,,"Persistence not directly examined, but interannual variability in hotspot location was explored",Y
Gemma,Escobar-Lasso et al.,2017,Survey,Distribution and hotspots of the feeding areas of jaguars on sea turtles at a national park in Coasta Rica,N,Foraging,Core areas of relatively high predation activity,"sea turtles,jaguars",Neotropical Biology and Conservation,10.854,-85.837,Tropical eastern Pacific (Costa Rica),surface,"Identified hotspots of predator-prey interactions between Jaguar and various nesting sea turtle species, focused mostly on green and olive ridley. Diurnal visual surveys were performed over ~5 months at Nancite beach in Santa Rosa National Park, Costa Rica. Data collected included species, geographic location, distance carcass was dragged into forest from beach. Spatial analysis was performed with Heatspots in QGIS. Found 76 predated carapaces, of which 71% were olive ridley, the smaller species. Two important hotspots of feeding were found on the northern and southern ends of the beach, and the distribution of feeding events was similar for both species. Identified that distribution of human activity along beach, distribution of nesting turtles on beach, and intraspecific interactions between jaguars were the determining factors on hotspot location. Jaguars are known to avoid humans and thus their hotspots of feeding were well away from concentrated human activity. Authors concluded that all conservation and management efforts should be concentrated in these hotspots.",N,"Human activity, prey distribution, intraspecific interactions","human activity, species attributes",,,Heatspots? - spatial clustering algorithm to identify areas of high activity,Y
Gemma,Farina et al.,2017,Experiment,Generation and maintenance of predation hotspots of a functionally important herbivore in a patchy habitat mosaic,Y,Foraging,Areas of relatively high predation,"urchins,bony fish,macroalgae",Functional Ecology,41.698,2.861,Mediterranean Sea,demersal,"The authors used urchin tethering experiments to look at predation at varying spatial scales in the Mediterranean Sea off the Catalan Coast. Urchin survival was tracked for 10 days in 50 disconnected habitat patches, and the predation experiments were ended once 50% of tethered prey was taken by predators. They used global hotspot analysis in Arc (Getis Ord) to look at broad scale patterns in urchin predation risk, and then local hot spot analysis to look at the patchiness of predation risk which produced high and low risk values, with high risk values being predation hotspots. Environmental attributes of patches including canopy height and depth of unburied rhizome layer, perimeter and area, distance to nearest patch, percent of sand and rock in 50cm radius around patch, and general urchin abundance based on counts. Global and local hostpot analysis were carried out on these. Found that two local hotspots occurred, with one more intense than the other, and both eventually disappeared after the 5th day. Results showed that at patch level, predation was lowest in high canopy, rocky refugia, but highest in those environments at the landscape level. This suggests at different spatial scales the effect of rocks and canopies switch roles. This has important consequences for this alga environment as when urchin predation is low, the habitat can rapidly shift to a barren. Fragmentation of habitat patches across the landscape served to aggregate urchins. In MPAs, this explains how urchin density is low due to high predation, while outside it may appear more patchy due to lower densities of predators and greater influence of habitat.",N,"canopy height, substrate, prey aundance","habitat, substrate",,,Persistence of hotspots measured over 10 days ,Y
